thiNksmaRt Library Books Catalog,,,,,,,
CIVILS,,,,,,,
TSBN,ISBN,Card No.,Book Title,Author,Publication,Edition/Part,Copies
MAT021,812031266X,369,Introductory Methods of Numerical Analysis,S.S. Sastry,PHI,,
MAT022,,370,"Definitions and Formulae in Mathematics, Classes XI-XII",Ravi Kumar,LP,,
MAT023,,371,Linear Algrebra,A.R. Vasishta,Krishna Prakashan Media,,
MAT024,,372,Integral Calculus,A.R. Vasishta,Krishna Prakashan Media,,
MAT025,9788126523511,373,Linear Statistical Inference and It's applications,C.R. Rao,Wiley India,2,
MAT026,9780230634367,374,Linear Programming Theory and Applications,J.K. Sharma,MacMillan,,
MAT027,9788185015705,375,A first course in abstract algebra,John B. Fraleigh,Narosa,3,
MAT028,9788126511099,376,Introduction to Real Analysis,Robert G. Bartle,Wiley India,3,
MAT029,9788126517572,377,Stochastic Process,Sheldon M. Ross,Wiley India,2,
MAT030,812190898,378,Fluid Dynamics with Complete Hydrodynamics and Boundary Layer Theory,M.D. Raisinghania,S. Chand,,2
MAT031,9788122427721,379,Mathematical Analysis,S.C. Malik,New Age International,4,
MAT032,,380,Dynamics,N.P. Bali,LP,,
MAT033,,381,Numerical Analysis,R. Gupta,LP,,
MAT034,,382,Numerical Analysis and Programming in C,A.R. Vasishta,Krishna Prakashan Media,,
MAT035,8121926610,383,Analytical Solid Geometry,Shanti Narayan,S. Chand,,
MAT036,,384,Complex Analysis,A.R. Vasishta,Krishna Prakashan Media,,
MAT037,8121901618,385,Vector Calculus,Shanti Narayan,S. Chand,,
MAT038,70482985,386,Engineering Mathematics,B.V. Ramana,McGraw Hill,,
MAT039,8121903068,387,Elements of Real Analysis,Shanti Narayan,S. Chand,,2
MAT040,9789380298849,388,Differntial Calculus,N.P. Bali,Fire Wall Media,,
MAT030,812190898,389,Fluid Dynamics with Complete Hydrodynamics and Boundary Layer Theory,M.D. Raisinghania,S. Chand,,2
MAT041,9788120335394,390,Computer Oriented Numerical Methods,P. Thangaraj,PHI,,
MAT042,9788120339323,391,Abstract Algebra,I.H. Sheth,PHI,,
MAT043,8177583328,392,Linear Algrebra,Kenneth Hoffman,LPE,,
MAT044,9780199235940,393,Concise Dictionary of Mathematics,Christopher Clapham,Oxford,,
MAT045,9780486498768,394,Elements of Partial Differential Equations,N. Sneddon,Dover,,
MAT039,8121903068,395,Elements of Real Analysis,Shanti Narayan,S. Chand,,2
MAT004,9788121930710,396,Numerical Analysis,Ranganatham,S. Chand,,2
MAT046,,397,Mechanics Fluid Dynamics Statics Dynamics,,Krishna Series,,
MAT047,9780070605022,398,Linear Algrebra,Seymour Lipschutz,McGraw Hill,3,
MAT048,,399,Real Analysis,J.N. Sharma,Krishna Prakashan Media,,
MAT049,,400,Differential Equations,Sharma and Gupta,Krishna Prakashan Media,,
MAT019,,401,Vector Calculus,A.R. Vasishta,Krishna Prakashan Media,,2
MAT050,,402,Complex Analysis,A.R. Vasishta,Krishna Prakashan Media,,
MAT051,,403,Modern Algebra,A.R. Vasishta,Krishna Prakashan Media,,
MAT052,9788126510184,404,Topics in Algebra,I.N. HERSTEIN,Wiley India,2,
MAT053,,405,Linear Programming,R.K. Gupta,Krishna Prakashan Media,,
MAT054,,406,Analytical Geometry - Coordinate solid geometry,A.R. Vasishta,Krishna Prakashan Media,,
MAT055,,407,Real Analysis,A.R. Vasishta,Krishna Prakashan Media,,
MAT056,,408,Modern Algebra,A.R. Vasishta,Krishna Prakashan Media,,
MAT057,,409,Modern Algebra,A. Mohindroo,Fire Wall Media,,
OTHERS,,,,,,,
OTH001,9789332585614,410,GPAT,Umang Shah,Pearson,,
OTH002,9789386858566,411,10 Practice Tess Bitsat,,Cengage,,
OTH003,9789332576513,412,Complete guide for the CAT,Nishit K. Sinha,Pearson,,
OTH004,9780070634169,413,Numerical Methods for Engineers,Stephen C Chapra,McGraw Hill,,
OTH005,8177583301,414,Managing the software process,Watts S. Humphrey,Pearson,,
OTH006,9780070620208,415,Essentials of Management,Harold Koontz,McGraw Hill,,
OTH007,9788126509867,416,Algorithm Design,Michael T. Goodrich,Wiley India,,
OTH008,9780123704832,417,Probability and Statistics for Engineers and Scientists,Sheldon M. Ross,Elsevier,,
OTH009,195668049,418,Technical Communication,Meenakshi Raman,Oxford,,
OTH010,,419,Modern compiler implementation in C,Andrew W. Appel,Camebridge University,,
OTH011,8177584227,420,Programming Languages,Ravi Sethi,Pearson,,
OTH012,8128001108,421,Computer Concepts and C Programming,C.B. Kotor,Sapna Book House,,
OTH013,9788120340077,422,Algorithms,Thomas H. Cormen,PHI,,
OTH014,9788131708439,423,Multimedia Communication Systems,K.R. Rao,Pearson,,
OTH015,,424,Datastructures using C,A.K. Rath,SciTech,,
OTH016,8178080141,425,Unix Network Programming,W Richard Stevens,,,
OTH017,,426,Programming ANSI C,Bala Guruswamy,McGraw Hill,,
OTH018,9788131761663,427,Cryptography and Network Security,Willaim Stallings,Pearson,,
OTH019,9780070636774,428,The complete reference JAVA,Herbert Schildt,McGraw Hill,7,
OTH020,8177581651,429,Computer Networks,Andrew S. Tanenbaum,Pearson,,
OTH021,71240837,430,Software Engineering,Roger S. Pressman,McGraw Hill,,
OTH022,97881221998697,431,Managerial Skills,K. Alex,S. Chand,,
OTH023,70595003,432,Introduction to Computing Systems,Sanjay J Patel,McGraw Hill,,
OTH024,8123902972,433,A Problem book in Mathematical Analysis,G.N. Berman,CBS,,
OTH025,9780071072748,434,Sofware Project Management,Bob Hughes,McGraw Hill,,
OTH026,9780070593626,435,Object Oriented Programming in C ++,Bala Guruswamy,McGraw Hill,,
OTH027,8178083191,436,"Multimedia Computing, Communications and Applications",Ralf Steinmetz ,Pearson,,
