thiNksmaRt Library Books Catalog,,,,,,,
CIVILS,,,,,,,
TSBN,ISBN,Card No.,Book Title,Author,Publication,Edition/Part,Copies
CSE090,8173611351,90,Indian Society & Culture,Nadeem Hasnain,Jawahar ,,
CSE091,9789352602827,91,International Relations,Pawanith singh,MGH,P1,
CSE092,9789352602827,92,International Relations,Pawanith singh,MGH,P2,
CSE093,9789352602827,93,International Relations,Pawanith singh,MGH,P3,
CSE094,9789352602827,94,International Relations,Pawanith singh,MGH,P4,
CSE095,9780198072089,95,Environmental Studies,R rajagopalan,OUP,,
CSE096,8178121718,96,Dictionary Of Economics,Hemraj singh,Ramesh,,
CSE097,9789380607504,97,History of the Modern world,Ranjhan Chakrabarthi,Primus,,
CSE098,817306127,98,Modern India,Rajivahir,Spectrum,,
CSE099,9780070660304,99,Modern Indian History,Mohammad Tarique,MGH,,
CSE100,9788123754529,100,Costal Hazards,HN Srivastava,NBT,,
CSE101,9789350352915,101,The Constitution of india,PM Bakshi,Universal,,
CSE102,97893830644656,102,An Era Of darkness,Shashi Taroor,Rupa,,
CSE103,9788123710075,103,Physical geology of india ,SM matoor,NBT,,
CSE104,8121908876,104,Ancient India ,V.D.Mahajan,Schand,,
CSE105,8170335450,105,Society in India,Ram Ahuja,Rawat,,
CSE106,9789339204198,106,Internal Security of india,Ashok Kumar,MGH,,
CSE107,,107,Indian Philosophy,,Telugu Akademi,,
CSE108,9789386858467,108,Indian Polity,Prepmate,Cengage,,
CSE109,9789386858528,109,General Science,Prepmate,Cengage,,
CSE110,9789386873071,110,GS- History,Edgar Thorpe,Pearson,,
CSE111,9789386873073,111,GS- Indian Polity,Edgar Thorpe,Pearson,,
CSE112,9789386873064,112,GS- General Science,Edgar Thorpe,Pearson,,
CSE113,,113,Human & economics Geography,,NCERT,,
CSE114,,114,Ethics,Ashok Kumar,Wizard,,
CSE115,9789351433217,115,GS4 - ethics Integrity & Aptitude,,Lexis Nexis,p1,
CSE116,9789351433217,116,GS4 - ethics Integrity & Aptitude,,Lexis Nexis,p2,
CSE117,9789351433217,117,GS4 - ethics Integrity & Aptitude,,Lexis Nexis,p3,
CSE118,,118,Indian Geography,,NCRT,,
CSE119,,119,Indian Geography,,Spectrum,p1,
CSE120,,120,Indian Geography,,Spectrum,P2,
CSE121,,121,Indian Society & diversity,NIOS,,P1,
CSE122,,122,Indian Society & diversity,NIOS,,p2,
CSE123,,123,Indian Society & diversity,NIOS,,p3,
CSE124,,124,Indian Society & diversity,NIOS,,p4,
CSE125,,125,Social Problems In India,NIOS,,p1,
CSE126,,126,Social Problems In India,NIOS,,p2,
CSE127,,127,Social Problems In India,NIOS,,p3,
CSE128,,128,Physical Geography,,NCRT,,
CSE129,,129,Agriculture,,NCRT,,
CSE130,,130,Indian Economy,,NCRT,,
CSE131,9788125036845,131,History of Modern India,Bipin Chandra,OBS,,
CSE132,9788125004226,132,Social Change in Modern India,M N srinivas,OSB,,
CSE133,9789387067547,133,Indian Art & culture,Nithin singania,MGH,,
CSE134,9789350947739,134,Indian Art & culture,,Harihanth,,
CSE135,978938485750,135,Indian social problems,CN shenkar Rao,Schand,,
CSE136,9789386858511,136,Ancient & medeival history and culture,Prepmate,Cengage,,
CSE137,9789386858559,137,Science & Technology,Prepmate,Cengage,,
CSE138,978386858504,138,Environment & biodiversity,Prepmate,Cengage,,
CSE139,9789384170165,139,Heritage & Culture,K sidhartha,Kisalaya,,
CSE140,,140,Indian Heritage & culture,NAOS,,,
CSE141,,141,Social Problems In India,NPTL,,,
CSE142,,142,Indian economic Development,NCERT,,,
